,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Manchester City,98,MCI,1,0.9838777105258375,1200000000,150611000,78.59,20.990000000000002
1,Liverpool,97,LIV,1,0.9798239449643081,1170000000,127460000,182.2,140.88
2,Chelsea,72,CHE,1,0.9899150613174064,1170000000,157507000,208.8,125.55000000000001
3,Tottenham Hotspur,71,TOT,1,0.8735780348683575,898600000,91206000,0.0,-5.35
4,Arsenal,70,ARS,1,0.9867389298892989,659050000,135360000,80.15,71.05000000000001
5,Manchester United,66,MNU,1,0.9949117910228502,797600000,151325000,82.7,52.150000000000006
6,Wolverhampton Wanderers,57,WOL,0,0.96801872074883,302900000,37187000,112.75,89.45
7,Everton,54,EVE,0,0.9866568952010311,529100000,85707000,99.8,71.15
8,Leicester City,52,LEI,0,0.9869240541629224,434100000,79900000,114.6,18.799999999999997
9,West Ham United,52,WES,0,0.933376,359000000,82795000,100.9,87.135
10,Watford,50,WAT,0,0.9276544468647169,239100000,49398000,30.1,-21.740000000000002
11,Crystal Palace,49,CRY,0,0.9772718547241525,289000000,74701000,11.85,11.5
12,Newcastle United,45,NEW,0,0.9767472964194276,244650000,49845000,59.75,8.700000000000003
13,Bournemouth,45,BOU,0,0.9296495718951363,310000000,52690000,89.1,68.89999999999999
14,Burnley,40,BUR,0,0.9336182595253251,197250000,44263000,33.0,25.0
15,Southampton,39,SOU,0,0.9306756422924901,305400000,72514500,62.25,36.15
16,Brighton & Hove Albion,36,BRI,0,0.9567924528301887,194350000,42821000,87.12,73.5
17,Cardiff City,34,CAR,0,0.94375,113000000,32990000,51.2,51.2
18,Fulham,26,FUL,0,1.0887687634024303,254250000,50919000,116.5,111.15
19,Huddersfield Town,16,HUD,0,0.9526530612244898,137450000,35115000,50.7,38.370000000000005
